;activation;layers;ngrams;regularization;precision;recall;f1-score
42;sigmoid;10;5;False;0,726486948;0,7265;0,726457861
14;relu;10;3;False;0,719914832;0,7195;0,719181351
44;hard_sigmoid;10;5;False;0,721467846;0,71875;0,717467604
21;hard_sigmoid;5;4;True;0,711983557;0,7115;0,71112052
18;sigmoid;5;4;False;0,711377003;0,7105;0,710400469
12;hard_sigmoid;10;3;False;0,710056162;0,71;0,710013704
34;sigmoid;5;5;False;0,718009524;0,711;0,707973208
23;relu;5;4;True;0,708059764;0,70775;0,707452501
28;hard_sigmoid;10;4;False;0,717027577;0,71025;0,707290493
27;sigmoid;10;4;True;0,707;0,707;0,707
19;sigmoid;5;4;True;0,708637626;0,7075;0,706782832
4;hard_sigmoid;5;3;False;0,709095876;0,707;0,705847838
47;relu;10;5;True;0,722252291;0,71025;0,705411305
22;relu;5;4;False;0,717651123;0,709;0,705313419
35;sigmoid;5;5;True;0,705298288;0,70525;0,705120545
31;relu;10;4;True;0,712650303;0,706;0,702981914
43;sigmoid;10;5;True;0,707571166;0,7035;0,70253396
38;relu;5;5;False;0,711448269;0,70525;0,702389349
10;sigmoid;10;3;False;0,72892752;0,70925;0,701779857
41;tanh;10;5;True;0,70149902;0,7015;0,701414571
36;hard_sigmoid;5;5;False;0,70289075;0,70125;0,700248799
29;hard_sigmoid;10;4;True;0,709042934;0,702;0,698721401
20;hard_sigmoid;5;4;False;0,715863256;0,70375;0,698603743
2;sigmoid;5;3;False;0,713320771;0,70275;0,698135117
6;relu;5;3;False;0,717131102;0,7035;0,697790942
45;hard_sigmoid;10;5;True;0,70847234;0,7005;0,696808476
7;relu;5;3;True;0,696476143;0,6965;0,696476926
26;sigmoid;10;4;False;0,718936243;0,703;0,696442299
15;relu;10;3;True;0,705459372;0,69875;0,695515781
32;tanh;5;5;False;0,696817887;0,696;0,695372039
37;hard_sigmoid;5;5;True;0,703538;0,698;0,69523332
13;hard_sigmoid;10;3;True;0,694986987;0,69475;0,694459011
46;relu;10;5;False;0,71799703;0,70075;0,693600976
30;relu;10;4;False;0,728924304;0,702;0,691661867
11;sigmoid;10;3;True;0,710227524;0,69725;0,691485486
5;hard_sigmoid;5;3;True;0,696293778;0,691;0,688169192
8;tanh;10;3;False;0,690908456;0,6885;0,686982055
33;tanh;5;5;True;0,691179875;0,6885;0,686846825
24;tanh;10;4;False;0,701645485;0,6905;0,685144558
16;tanh;5;4;False;0,685769009;0,684;0,682757395
40;tanh;10;5;False;0,697057335;0,68725;0,682314071
17;tanh;5;4;True;0,681468475;0,68;0,678880093
39;relu;5;5;True;0,718547219;0,6905;0,67876412
0;tanh;5;3;False;0,682188571;0,67775;0,67499838
3;sigmoid;5;3;True;0,696496051;0,681;0,673302047
1;tanh;5;3;True;0,682188744;0,6765;0,673078019
9;tanh;10;3;True;0,693775531;0,67825;0,670355137
25;tanh;10;4;True;0,696033221;0,67275;0,661105357
