;vectorizer;transformer;classifier;accuracy;f1_score;fscore_1;fscore_2;precision_1;precision_2;recall_1;recall_2;transformer_time;vectorizer_time;classifier_time
71;2-grams;TF-IDF l2 log;Linear SVM;0,5453;0,36002814919071074;0,6473827064753782;0,36002814919071074;0,5243718592964824;0,6269607843137255;0,8457953394123607;0,2525172754195459;0,0;1,52;67,18
72;2-grams;TF-IDF l2 log;RBF SVM;0,6456;0,6630538125118843;0,6262391900442945;0,6630538125118843;0,6529579942819441;0,6394645149459013;0,6016210739614994;0,6884501480750247;0,0;1,52;191,69
73;2-grams;TF-IDF l2 log;Decision Tree;0,5319;0,3211022480058013;0,6428080885158336;0,3211022480058013;0,5155446756425949;0,6049180327868853;0,8534954407294832;0,21855873642645607;0,0;1,52;0,06
74;2-grams;TF-IDF l2 log;Random Forest;0,4943;0,005506391347099311;0,6609453570231311;0,005506391347099311;0,4938877755511022;0,7;0,9987841945288752;0,002764067127344521;0,0;1,52;0,05
75;2-grams;TF-IDF l2 log;AdaBoost;0,5486;0,3690243220575901;0,6486065701385645;0,3690243220575901;0,5266085197825812;0,6318812829104835;0,8441742654508612;0,26061204343534056;0,0;1,52;1,18
76;2-grams;TF-IDF l2 log;Naive Bayes;0,6481;0,6294619353480047;0,6649528706083977;0,6294619353480047;0,6271551724137931;0,6744133574007221;0,7075987841945289;0,5901283316880552;0,0;1,52;0,01
77;2-grams;TF-IDF l2 linear;Nearest Neighbors;0,5792;0,5087555451786131;0,6319748119643169;0,5087555451786131;0,5559316817971995;0,6223936018280491;0,7321175278622087;0,4302073050345509;0,0;1,52;6,81
78;2-grams;TF-IDF l2 linear;Linear SVM;0,5455;0,3592274073029748;0,6478654993414427;0,3592274073029748;0,5244606121424987;0,6282051282051282;0,8472137791286728;0,25153010858835145;0,0;1,52;57,83
79;2-grams;TF-IDF l2 linear;RBF SVM;0,6459;0,6639460947138655;0,6258057698404312;0,6639460947138655;0,6539310954063604;0,6392543859649122;0,6;0,6906219151036526;0,0;1,52;194,33
80;2-grams;TF-IDF l2 linear;Decision Tree;0,532;0,3221320973348783;0,6426389737324374;0,3221320973348783;0,5156230854062002;0,6046764545948885;0,8526849037487335;0,21954590325765053;0,0;1,52;0,07
81;2-grams;TF-IDF l2 linear;Random Forest;0,4951;0,007860090391039498;0,6613909194554356;0,007860090391039498;0,4942862870890136;0,8333333333333334;0,9991894630192504;0,003948667324777886;0,0;1,52;0,05
82;2-grams;TF-IDF l2 linear;AdaBoost;0,5497;0,3772645553865302;0,6473490484767798;0,3772645553865302;0,5275721215215726;0,6297322253000923;0,8374873353596758;0,2692991115498519;0,0;1,52;1,15
83;2-grams;TF-IDF l2 linear;Naive Bayes;0,6486;0,629637436762226;0,6657153729071538;0,629637436762226;0,6273982427828582;0,6753334840605923;0,7090172239108409;0,5897334649555775;0,0;1,52;0,01
84;Word2Vec;;CNN;0,7719;0,7661399999999999;0,7752100000000001;0,7661399999999999;0,7628199999999999;0,7793;0,78799;0,75342;0,0;0,0;2830,46
85;Word2Vec;;CNN;0,7719;0,76614;0,77521;0,76614;0,76282;0,7793;0,78799;0,75342;0,0;0,0;2830,46
