;accuracy;classifier;classifier_time;f1_score;transformer;transformer_time;vectorizer;vectorizer_time;fscore_1;fscore_2;precision_1;precision_2;recall_1;recall_2;support_1;support_2
30;0,7239;RBF SVM;555,19;0,726498266;TF l2 log;0,04;1- and 2-grams;1,94;0,721251893;0,726498266;0,718712274;0,729025845;0,723809524;0,723988154;4935;5065
31;0,6154;Decision Tree;0,31;0,609463851;TF l2 log;0,04;1- and 2-grams;1,94;0,621158392;0,609463851;0,604370328;0,627430483;0,638905775;0,592497532;4935;5065
32;0,4976;Random Forest;0,06;0,021806854;TF l2 log;0,04;1- and 2-grams;1,94;0,662002153;0,021806854;0,495518179;0,788732394;0,996960486;0,011056269;4935;5065
33;0,6583;AdaBoost;3,5;0,649358645;TF l2 log;0,04;1- and 2-grams;1,94;0,666796685;0,649358645;0,642669173;0,676068376;0,692806484;0,624679171;4935;5065
34;0,7184;Naive Bayes;0,02;0,714748784;TF l2 log;0,04;1- and 2-grams;1,94;0,721958926;0,714748784;0,704024649;0,733929686;0,7408308;0,696544916;4935;5065
35;0,5313;Nearest Neighbors;10,66;0,190081217;TF l2 linear;0,03;1- and 2-grams;1,94;0,670231478;0,190081217;0,513364949;0,761772853;0,96514691;0,108588351;4935;5065
36;0,6687;Linear SVM;244,56;0,6396171;TF l2 linear;0,03;1- and 2-grams;1,94;0,693439437;0,6396171;0,638113079;0,712209302;0,759270517;0,580454097;4935;5065
37;0,7224;RBF SVM;556,98;0,725474684;TF l2 linear;0,03;1- and 2-grams;1,94;0,719255663;0,725474684;0,717948718;0,726768377;0,720567376;0,724185587;4935;5065
38;0,6158;Decision Tree;0,29;0,617406891;TF l2 linear;0,03;1- and 2-grams;1,94;0,614179554;0,617406891;0,608799522;0,62286518;0,619655522;0,612043435;4935;5065
39;0,4929;Random Forest;0,07;0,006270821;TF l2 linear;0,03;1- and 2-grams;1,94;0,659595892;0,006270821;0,493174061;0,421052632;0,995542047;0,003158934;4935;5065
40;0,6566;AdaBoost;3,65;0,646562371;TF l2 linear;0,03;1- and 2-grams;1,94;0,666083236;0,646562371;0,640306599;0,675338637;0,69402229;0,620138203;4935;5065
41;0,7173;Naive Bayes;0,01;0,714126808;TF l2 linear;0,03;1- and 2-grams;1,94;0,720403521;0,714126808;0,703632148;0,731965174;0,737993921;0,697137216;4935;5065
42;0,5619;Nearest Neighbors;10,93;0,366632933;TF-IDF l2 log;0,01;1- and 2-grams;1,94;0,665137965;0,366632933;0,533996073;0,684665227;0,881661601;0,250345508;4935;5065
43;0,6589;Linear SVM;221,97;0,655001517;TF-IDF l2 log;0,01;1- and 2-grams;1,94;0,662711362;0,655001517;0,647161066;0,671505599;0,679027356;0,63928924;4935;5065
44;0,7221;RBF SVM;531,62;0,724606085;TF-IDF l2 log;0,01;1- and 2-grams;1,94;0,719547886;0,724606085;0,71672698;0,727417429;0,722391084;0,721816387;4935;5065
45;0,6123;Decision Tree;0,24;0,603943202;TF-IDF l2 log;0,01;1- and 2-grams;1,94;0,620311429;0,603943202;0,600265353;0,625740898;0,641742655;0,583613031;4935;5065
46;0,4946;Random Forest;0,07;0,00668239;TF-IDF l2 log;0,01;1- and 2-grams;1,94;0,661078326;0,00668239;0,494036283;0,739130435;0,998784195;0,003356367;4935;5065
47;0,6556;AdaBoost;2,76;0,642738589;TF-IDF l2 log;0,01;1- and 2-grams;1,94;0,667567568;0,642738589;0,637419355;0,67715847;0,70070922;0,611648569;4935;5065
48;0,7154;Naive Bayes;0,01;0,714658111;TF-IDF l2 log;0,01;1- and 2-grams;1,94;0,716138041;0,714658111;0,705165979;0,726013445;0,72745694;0,703652517;4935;5065
49;0,5621;Nearest Neighbors;10,63;0,376654804;TF-IDF l2 linear;0,01;1- and 2-grams;1,94;0,662504817;0,376654804;0,534577114;0,675;0,870921986;0,261204344;4935;5065
50;0,6591;Linear SVM;226,67;0,654994434;TF-IDF l2 linear;0,01;1- and 2-grams;1,94;0,663109003;0,654994434;0,647183642;0,67192691;0,679837893;0,638894373;4935;5065
51;0,7211;RBF SVM;495,52;0,72377934;TF-IDF l2 linear;0,01;1- and 2-grams;1,94;0,718368171;0,72377934;0,715982287;0,726152623;0,72077001;0,72142152;4935;5065
52;0,6106;Decision Tree;0,21;0,595638629;TF-IDF l2 linear;0,01;1- and 2-grams;1,94;0,624493732;0,595638629;0,595768169;0,628258488;0,656129686;0,566238894;4935;5065
53;0,4962;Random Forest;0,07;0,021747573;TF-IDF l2 linear;0,01;1- and 2-grams;1,94;0,660740741;0,021747573;0,49480585;0,658823529;0,994123607;0,011056269;4935;5065
54;0,6555;AdaBoost;2,6;0,642968183;TF-IDF l2 linear;0,01;1- and 2-grams;1,94;0,667181915;0,642968183;0,637555391;0,676701571;0,699696049;0,612438302;4935;5065
